Family-model,Version,Filename,EventType,Core Type,Native Model ID,Core Role Name
GenuineIntel-6-7E,V1.15,/ICL/icelake_core_v1.15.json,core,,,
GenuineIntel-6-7E,V1.15,/ICL/icelake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-A7,V1.15,/ICL/icelake_core_v1.15.json,core,,,
GenuineIntel-6-A7,V1.15,/ICL/icelake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-86,v1.20,/SNR/snowridgex_core_v1.20.json,core,,,
GenuineIntel-6-86,v1.20,/SNR/snowridgex_uncore_v1.20.json,uncore,,,
GenuineIntel-6-86,v1.20,/SNR/snowridgex_uncore_v1.20_experimental.json,uncore experimental,,,
GenuineIntel-6-8C,V1.07,/TGL/tigerlake_core_v1.07.json,core,,,
GenuineIntel-6-8D,V1.07,/TGL/tigerlake_core_v1.07.json,core,,,
GenuineIntel-6-8C,V1.07,/TGL/tigerlake_uncore_v1.07.json,uncore,,,
GenuineIntel-6-8D,V1.07,/TGL/tigerlake_uncore_v1.07.json,uncore,,,
GenuineIntel-6-8F,V1.06,/SPR/sapphirerapids_core_v1.06.json,core,,,
GenuineIntel-6-8F,V1.06,/SPR/sapphirerapids_uncore_v1.06.json,uncore,,,
GenuineIntel-6-8F,V1.06,/SPR/sapphirerapids_uncore_v1.06_experimental.json,uncore experimental,,,
GenuineIntel-6-6A,V1.16,/ICX/icelakex_core_v1.16.json,core,,,
GenuineIntel-6-6A,V1.16,/ICX/icelakex_uncore_v1.16.json,uncore,,,
GenuineIntel-6-6A,V1.16,/ICX/icelakex_uncore_v1.16_experimental.json,uncore experimental,,,
GenuineIntel-6-6C,V1.16,/ICX/icelakex_core_v1.16.json,core,,,
GenuineIntel-6-6C,V1.16,/ICX/icelakex_uncore_v1.16.json,uncore,,,
GenuineIntel-6-96,V1.03,/EHL/elkhartlake_core_v1.03.json,core,,,
GenuineIntel-6-9C,V1.03,/EHL/elkhartlake_core_v1.03.json,core,,,
GenuineIntel-6-97,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-97,v1.15,/ADL/alderlake_goldencove_core_v1.15.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-97,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-97,v1.15,/ADL/alderlake_uncore_v1.15_experimental.json,uncore experimental,,,
GenuineIntel-6-9A,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-9A,v1.15,/ADL/alderlake_goldencove_core_v1.15.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-9A,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-9A,v1.15,/ADL/alderlake_uncore_v1.15_experimental.json,uncore experimental,,,
GenuineIntel-6-B7,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-B7,v1.15,/ADL/alderlake_goldencove_core_v1.15.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-B7,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-B7,v1.15,/ADL/alderlake_uncore_v1.15_experimental.json,uncore experimental,,,
GenuineIntel-6-BA,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-BA,v1.15,/ADL/alderlake_goldencove_core_v1.15.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-BA,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-BA,v1.15,/ADL/alderlake_uncore_v1.15_experimental.json,uncore experimental,,,
GenuineIntel-6-BF,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-BF,v1.15,/ADL/alderlake_goldencove_core_v1.15.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-BF,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-BF,v1.15,/ADL/alderlake_uncore_v1.15_experimental.json,uncore experimental,,,
GenuineIntel-6-BE,v1.15,/ADL/alderlake_gracemont_core_v1.15.json,core,,,
GenuineIntel-6-BE,v1.15,/ADL/alderlake_uncore_v1.15.json,uncore,,,
GenuineIntel-6-AA,v1.00,/MTL/meteorlake_crestmont_core_v1.00.json,hybridcore,0x20,0x000002,Atom
GenuineIntel-6-AA,v1.00,/MTL/meteorlake_redwoodcove_core_v1.00.json,hybridcore,0x40,0x000001,Core
